RR70_MNS_ANB_35,RR60_MNS_ANB_40,RR70_MNS_ANB_40,RR60_MNS_ANB_45,RR70_MNS_ANB_45,RR90_MNS_ANB_65,17_CSO_M_NS_AGG_ANB,Protective,Corebridge,Symetra,Lincoln,F&G,Principal,Nationwide,GHI_BC_M65
0.0001,0.00009,0.00011,0.00018,0.00022,0.00155,,0.00013191,0.000499,0.000221,0.000249,0.000377,0.002143,0.000252,0.0024
0.00012,0.00015,0.00019,0.00024,0.0003,0.00251,,0.00022781,0.000499,0.000292,0.000423,0.000535,0.002143,0.000336,0.0064237
0.00019,0.00022,0.00027,0.00032,0.00039,0.00305,,0.00032376,0.000499,0.00035,0.000569,0.000669,0.002143,0.000444,0.011903
0.00022,0.00026,0.00032,0.00039,0.00048,0.0038,,0.00037169,0.000499,0.000397,0.000666,0.000803,0.002143,0.000528,0.0181935
0.00026,0.0003,0.00037,0.00043,0.00053,0.00489,,0.00040767,0.000499,0.000432,0.000706,0.000962,0.002143,0.000576,0.0259733
0.00029,0.00035,0.00043,0.00048,0.00059,0.00571,,0.00045562,0.000551,0.000451,0.000753,0.001145,0.002143,0.000636,0.029645
0.00032,0.00039,0.00048,0.00057,0.0007,0.00668,,0.00050362,0.000596,0.000484,0.000816,0.001371,0.002143,0.000744,0.0327296
0.0004,0.00044,0.00054,0.00067,0.00083,0.00802,,0.00056353,0.000645,0.000526,0.00093,0.001604,0.002142,0.000864,0.0345894
0.00046,0.0005,0.00062,0.00077,0.00094,0.00973,,0.00062348,0.00071,0.000575,0.00102,0.001849,0.002142,0.000984,0.0355116
0.0005,0.00058,0.00072,0.00087,0.00107,0.01167,,0.00070741,0.000789,0.000642,0.00107,0.002084,0.002142,0.001092,0.0364834
0.00053,0.00065,0.0008,0.001,0.00122,0.01353,,0.00075538,0.000854,0.000698,0.00117,0.002386,0.002142,0.001236,0.0409584
0.00059,0.00073,0.00089,0.00116,0.00141,0.01556,,0.00080334,0.000918,0.000744,0.001291,0.002803,0.002142,0.0014172,0.0428724
0.00067,0.00082,0.001,0.00135,0.00164,0.0182,,0.00085129,0.000999,0.000816,0.001331,0.003161,0.002142,0.0016092,0.0459206
0.00076,0.00092,0.00112,0.00155,0.00187,0.02152,,0.00089924,0.001083,0.000894,0.001471,0.003471,0.002142,0.0018132,0.0499207
0.00086,0.00103,0.00125,0.0018,0.00215,0.02557,,0.00093524,0.001164,0.000962,0.001651,0.003824,0.002145,0.0020532,0.0537946
0.00096,0.00116,0.0014,0.00211,0.00252,0.03073,,0.00098319,0.001255,0.001054,0.001771,0.004323,0.002241,0.0023544,0.0572917
0.00107,0.00133,0.00161,0.00247,0.00294,0.03693,,0.0010431,0.001371,0.001176,0.002162,0.004901,0.002379,0.0027024,0.0608017
0.00118,0.00155,0.00186,0.00281,0.00332,0.04376,,0.00112706,0.00152,0.001338,0.002412,0.005535,0.002558,0.0029916,0.0629405
0.00133,0.00182,0.00217,0.00309,0.00363,0.05179,0.00083,0.00122299,0.001712,0.001536,0.002533,0.006211,0.002748,0.0032196,0.0659278
0.00151,0.00209,0.00249,0.00342,0.00399,0.06057,0.00086,0.00130692,0.001954,0.001746,0.002683,0.006918,0.002951,0.0034848,0.070565
0.00174,0.00234,0.00278,0.00381,0.00443,0.06926,0.00089,0.00135488,0.002153,0.00192,0.002853,0.007693,0.003149,0.0032664,0.0754526
0.00199,0.0026,0.00307,0.00441,0.0051,0.07936,0.00093,0.00148678,0.002368,0.002106,0.003074,0.008488,0.003487,0.0037068,0.0798826
0.00223,0.00288,0.00338,0.00509,0.00585,0.09099,0.00089,0.00161864,0.002601,0.002296,0.003445,0.009295,0.003853,0.0041916,0.0855379
0.00245,0.00326,0.0038,0.00584,0.00666,0.1042,0.00086,0.00176253,0.002854,0.002559,0.003957,0.010391,0.004256,0.0046884,0.0898619
0.00266,0.00373,0.00434,0.00664,0.00753,0.11857,0.00085,0.00163065,0.003128,0.002886,0.004509,0.011631,0.004713,0.0052428,0.0964245
0.00291,0.00425,0.00491,0.00761,0.00858,0.13396,0.00085,0.00176254,0.003425,0.00322,0.005172,0.013603,0.005248,0.0058644,0.105672
0.00318,0.00475,0.00547,0.00871,0.00975,0.15002,0.00072,0.00189442,0.003747,0.003518,0.005826,0.014956,0.005884,0.0066324,0.1178399
0.00353,0.00532,0.00609,0.01004,0.01116,0.16621,0.00069,0.00201434,0.004097,0.003846,0.00661,0.016764,0.006643,0.0075492,0.1319808
0.00394,0.00596,0.00679,0.01163,0.01284,0.18228,0.00063,0.00220618,0.004488,0.004198,0.007587,0.01866,0.00753,0.0086364,0.1493571
